"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"337";"KIWS59";"Potato";6.74087;46.977599;"2018-06-06";"2018-06-09"
"430";"KIWS60";"Potato";7.328216;46.817146;"2018-05-13";"2018-05-15"
"303";"KIWS61";"Potato";9.9795;47.457834;"2018-07-03";"2018-07-11"
"391";"KIWS65";"Potato";7.283274;46.842378;"2017-07-26";"2017-07-30"
"401";"KIWS66";"Potato";7.317341;46.820269;"2018-05-13";"2018-05-15"
"403";"KIWS67";"Potato";7.322047;46.776691;"2018-04-28";"2018-05-03"
"402";"KIWS71";"Potato";7.36841;46.854965;"2018-05-07";"2018-05-11"
"304";"KIWS75";"Potato";7.898597;47.079708;"2018-06-07";"2018-06-09"
"343";"KIWS79";"Potato";7.127214;47.269812;"2018-07-23";"2018-07-28"
"286";"KIWS83";"Potato";7.721108;46.883605;"2018-06-24";"2018-06-29"
"285";"KIWS92";"Potato";7.303606;46.792378;"2019-04-12";"2019-04-19"
"342";"KIWS93";"Potato";7.375833;46.771937;"2018-07-07";"2018-07-09"
"517";"KIWS95";"Potato";7.913257;47.185062;"2019-06-16";"2019-06-20"
"350";"KIWS96";"Potato";7.354741;46.725973;"2019-07-02";"2019-07-04"
"842";"Ornitela_195";"Potato";13.176402;47.8813;"2020-05-23";"2020-05-25"
"171";"SWIK03";"Potato";7.99321;47.46838;"2016-05-09";"2016-05-15"
"315";"SWIK05";"Potato";7.953605;46.955;"2018-07-24";"2018-07-28"
"161";"SWIK07";"Potato";7.693123;47.359433;"2017-07-09";"2017-07-23"
"142";"SWIK12";"Potato";6.878699;46.72472;"2017-03-30";"2017-04-01"
"164";"SWIK16";"Potato";4.167747;45.047478;"2017-07-19";"2017-08-01"
"137";"SWIK17";"Potato";7.422252;46.844298;"2016-07-11";"2016-07-14"
"82";"SWIK23";"Potato";7.101753;46.737766;"2017-07-26";"2017-08-02"
"138";"SWIK25";"Potato";7.13587;46.735007;"2016-06-08";"2016-06-21"
"154";"SWIK27";"Potato";8.755163;47.628638;"2016-06-11";"2016-06-21"
"151";"SWIK31";"Potato";6.857676;46.583534;"2017-05-07";"2017-05-09"
"172";"SWIK33";"Potato";7.14156;46.733276;"2016-06-19";"2016-06-21"
"150";"SWIK35";"Potato";8.077641;47.081011;"2017-05-03";"2017-05-09"
"140";"SWIK38";"Potato";7.773218;47.073636;"2017-03-23";"2017-03-25"
"165";"SWIK46";"Potato";7.003426;46.788126;"2016-05-23";"2016-05-26"
"15";"SWIK49";"Potato";7.491035;47.344513;"2019-06-09";"2019-06-11"
"157";"SWIK52";"Potato";8.801893;47.630054;"2019-06-21";"2019-06-25"
"40";"SWIK69";"Potato";7.422176;46.789782;"2018-07-04";"2018-07-10"
"228";"SWIK71";"Potato";3.453356;45.048158;"2017-06-28";"2017-06-30"
"367";"SWIK75";"Potato";8.607473;47.163192;"2018-07-03";"2018-07-08"
"5";"SWIK84";"Potato";9.307707;48.281423;"2017-07-13";"2017-07-17"
"91";"SWIK88";"Potato";7.328566;46.782678;"2018-06-11";"2018-06-13"
"124";"SWIK90";"Potato";7.826122;47.113492;"2019-05-18";"2019-05-20"
"6";"SWIK95";"Potato";7.307165;46.773101;"2017-07-24";"2017-07-27"
"26";"WSIK06";"Potato";6.961816;47.39747;"2017-05-19";"2017-05-21"
"37";"WSIK07";"Potato";7.360886;46.852506;"2017-07-28";"2017-07-31"
"29";"WSIK12";"Potato";7.004796;46.689847;"2017-07-12";"2017-07-14"
"116";"WSIK18";"Potato";7.290699;46.774874;"2017-06-16";"2017-06-18"
"43";"WSIK25";"Potato";9.877716;47.944026;"2017-06-29";"2017-07-02"
"56";"WSIK31";"Potato";7.393691;46.86196;"2018-07-04";"2018-07-06"
"118";"WSIK35";"Potato";8.731185;46.87647;"2017-07-09";"2017-07-12"
"316";"WSIK40";"Potato";7.123059;46.712612;"2018-04-01";"2018-04-03"
"399";"WSIK43";"Potato";7.371228;46.76838;"2018-07-04";"2018-07-09"
"98";"WSIK49";"Potato";7.423873;46.839312;"2017-06-01";"2017-06-06"
"84";"WSIK55";"Potato";7.294958;46.722779;"2018-04-05";"2018-04-07"
"49";"WSIK57";"Potato";7.363958;46.849255;"2018-06-15";"2018-06-19"
"55";"WSIK58";"Potato";7.306161;46.777444;"2017-06-14";"2017-06-16"
"74";"WSIK68";"Potato";6.920164;46.652735;"2017-06-23";"2017-06-26"
"251";"WSIK73";"Potato";7.394304;46.843341;"2018-07-07";"2018-07-10"
"523";"WSIK78";"Potato";7.2442;46.811067;"2019-06-05";"2019-06-11"
"297";"WSIK79";"Potato";8.601722;47.160986;"2018-07-08";"2018-07-10"
"528";"WSIK81";"Potato";6.683722;46.943831;"2019-06-14";"2019-06-23"
"438";"WSIK84";"Potato";7.300458;46.7851;"2018-05-30";"2018-06-12"
"437";"WSIK85";"Potato";7.334803;46.761252;"2019-08-26";"2019-08-28"
"358";"WSIK87";"Potato";7.303108;46.786101;"2018-06-02";"2018-06-16"
"340";"WSIK92";"Potato";7.800104;47.079641;"2018-07-04";"2018-07-12"
"325";"WSIK96";"Potato";7.375622;46.794711;"2018-06-04";"2018-06-16"
"497";"16329F1C";"Settlement";7.138205;46.708603;"2020-03-19";"2020-06-20"
"416";"KISW01";"Settlement";7.407049;46.812898;"2020-03-12";"2020-05-03"
"291";"KIWS13";"Settlement";7.221434;46.965924;"2020-02-16";"2020-06-30"
"330";"KIWS14";"Settlement";7.16658;46.86632;"2020-03-01";"2020-07-17"
"421";"KIWS21";"Settlement";7.247285;46.930024;"2020-04-01";"2020-06-17"
"270";"KIWS30";"Settlement";9.188886;47.42872;"2019-04-16";"2019-08-03"
"254";"KIWS31";"Settlement";7.270488;46.834133;"2020-04-07";"2020-07-06"
"347";"KIWS37";"Settlement";7.300935;46.800288;"2020-02-15";"2020-07-13"
"308";"KIWS46";"Settlement";7.33437;46.759352;"2020-04-05";"2020-07-17"
"370";"KIWS47";"Settlement";7.379607;46.812804;"2020-02-28";"2020-07-12"
"349";"KIWS48";"Settlement";7.175449;46.858634;"2020-02-22";"2020-05-27"
"282";"KIWS50";"Settlement";7.23687;46.794666;"2020-03-04";"2020-05-29"
"396";"KIWS51";"Settlement";7.356263;46.786068;"2020-04-06";"2020-07-19"
"306";"KIWS53";"Settlement";7.250631;46.78594;"2020-04-17";"2020-06-01"
"337";"KIWS59";"Settlement";7.196065;46.892514;"2019-03-07";"2019-05-15"
"430";"KIWS60";"Settlement";7.366872;46.820153;"2020-03-15";"2020-06-11"
"303";"KIWS61";"Settlement";7.32715;46.858099;"2020-03-03";"2020-06-16"
