fid;bird_ID;TransmGSM;Type;Start;end.movwindow;End;cutoff;LON;LAT;Counter
36;347;KIWS37;Settlement;2020-02-15;2020-07-09;2020-07-13;6;7.300935;46.800288;Joni
37;308;KIWS46;Potato;2019-03-16;2019-03-17;2019-03-19;9;7.414067;46.80546;Lara
38;308;KIWS46;Settlement;2020-04-05;2020-07-13;2020-07-17;6;7.33437;46.759352;Lara
39;370;KIWS47;Potato;2018-07-08;2018-07-08;2018-07-10;9;7.396054;46.839265;Lara
40;370;KIWS47;Settlement;2020-02-28;2020-07-08;2020-07-12;6;7.379607;46.812804;Lara
41;349;KIWS48;Potato;2018-07-05;2018-07-05;2018-07-07;9;7.535676;47.351072;Rafa
42;349;KIWS48;Settlement;2020-02-22;2020-05-23;2020-05-27;6;7.175449;46.858634;Rafa
43;282;KIWS50;Potato;2018-05-30;2018-05-30;2018-06-01;9;7.304954;46.77563;Francesca
44;282;KIWS50;Settlement;2020-03-04;2020-05-25;2020-05-29;6;7.23687;46.794666;Francesca
45;396;KIWS51;Potato;2018-07-14;2018-07-19;2018-07-21;9;7.315268;46.775947;Francesca
46;396;KIWS51;Settlement;2020-04-06;2020-07-15;2020-07-19;6;7.356263;46.786068;Francesca
47;306;KIWS53;Potato;2018-05-27;2018-05-27;2018-05-29;9;6.754629;46.999228;Francesca
48;306;KIWS53;Settlement;2020-04-17;2020-05-28;2020-06-01;6;7.250631;46.78594;Francesca
49;337;KIWS59;Potato;2018-06-10;2018-06-10;2018-06-12;9;6.698234;46.974809;Francesca
50;337;KIWS59;Settlement;2019-03-07;2019-05-11;2019-05-15;6;7.196065;46.892514;Francesca
51;430;KIWS60;Potato;2018-05-13;2018-05-13;2018-05-15;9;7.328216;46.817146;Lara
52;430;KIWS60;Settlement;2020-03-15;2020-06-07;2020-06-11;6;7.366872;46.820153;Lara
53;303;KIWS61;Potato;2018-07-03;2018-07-09;2018-07-11;9;9.9795;47.457834;Etienne
54;303;KIWS61;Settlement;2020-03-03;2020-06-12;2020-06-16;6;7.32715;46.858099;Etienne
55;391;KIWS65;Potato;2017-07-26;2017-07-28;2017-07-30;9;7.283274;46.842378;Lara
56;391;KIWS65;Settlement;2019-03-20;2019-06-11;2019-06-15;6;7.306546;46.811454;Lara
57;401;KIWS66;Potato;2018-05-13;2018-05-13;2018-05-15;9;7.317341;46.820269;Lara
58;401;KIWS66;Settlement;2021-02-26;2021-04-25;2021-04-29;6;7.367136;46.780414;Lara
59;403;KIWS67;Potato;2018-04-28;2018-05-01;2018-05-03;9;7.322047;46.776691;Lara
60;403;KIWS67;Settlement;2021-04-01;2021-04-18;2021-04-22;6;7.365415;46.77826;Lara
61;402;KIWS71;Potato;2018-05-07;2018-05-09;2018-05-11;9;7.36841;46.854965;Joni
62;402;KIWS71;Settlement;2021-03-03;2021-04-18;2021-04-22;6;7.360129;46.79587;Joni
63;304;KIWS75;Potato;2018-06-07;2018-06-07;2018-06-09;9;7.898597;47.079708;Joni
64;304;KIWS75;Settlement;2021-04-05;2021-04-18;2021-04-22;6;8.875799;47.170883;Joni
65;343;KIWS79;Potato;2018-05-10;2018-05-15;2018-05-17;9;8.444985;48.181591;Lara
66;343;KIWS79;Settlement;2021-03-04;2021-04-18;2021-04-22;6;7.389693;46.802943;Lara
67;286;KIWS83;Potato;2018-06-24;2018-06-27;2018-06-29;9;7.721108;46.883605;Rafa
68;286;KIWS83;Settlement;2019-03-24;2019-04-30;2019-05-04;6;6.571272;46.329731;Fiona
69;285;KIWS92;Potato;2019-04-12;2019-04-17;2019-04-19;9;7.303606;46.792378;Frank
70;285;KIWS92;Settlement;2021-04-04;2021-04-12;2021-04-16;6;7.342162;46.775343;Frank
71;342;KIWS93;Potato;2018-07-07;2018-07-07;2018-07-09;9;7.375833;46.771937;Lara
72;342;KIWS93;Settlement;2020-03-13;2020-05-22;2020-05-26;6;7.388561;46.798624;Lara
73;517;KIWS95;Potato;2019-05-08;2019-05-09;2019-05-11;9;7.570499;47.436824;Joni
74;517;KIWS95;Settlement;2020-04-01;2020-06-20;2020-06-24;20;16.579843;49.425074;Krystof
75;350;KIWS96;Potato;2019-05-28;2019-05-28;2019-05-30;9;7.213402;46.766304;Etienne
76;350;KIWS96;Settlement;2020-04-07;2020-06-18;2020-06-22;6;7.247397;46.735534;Etienne
171;842;Ornitela_195;Settlement;2021-04-14;2021-05-20;2021-05-24;6;13.008464;48.033563;Etienne
172;842;Ornitela_195;Potato;2020-05-23;2020-05-23;2020-05-25;9;13.176402;47.8813;Etienne
77;171;SWIK03;Potato;2016-05-09;2016-05-13;2016-05-15;9;7.99321;47.46838;Rafa
78;171;SWIK03;Settlement;2019-03-21;2019-05-16;2019-05-20;6;6.957678;46.68122;Rafa
79;315;SWIK05;Potato;2018-07-24;2018-07-26;2018-07-28;9;7.953605;46.955;Frank
80;315;SWIK05;Settlement;2019-04-10;2019-06-26;2019-06-30;6;8.11245;47.056044;Frank
81;161;SWIK07;Potato;2017-07-09;2017-07-21;2017-07-23;9;7.693123;47.359433;Lara
82;161;SWIK07;Settlement;2019-03-08;2019-06-28;2019-07-02;6;7.768807;47.700181;Lara
83;142;SWIK12;Potato;2017-03-30;2017-03-30;2017-04-01;9;6.878699;46.72472;Edmee
84;142;SWIK12;Settlement;2018-04-02;2018-06-18;2018-06-22;6;6.819954;46.625757;Edmee
85;164;SWIK16;Potato;2017-07-19;2017-07-30;2017-08-01;9;4.167747;45.047478;Fiona
86;164;SWIK16;Settlement;2018-04-14;2018-05-24;2018-05-28;6;6.693147;46.709071;Rafa
87;137;SWIK17;Potato;2016-06-11;2016-06-11;2016-06-13;9;7.452369;46.872443;Rafa
88;137;SWIK17;Settlement;2017-04-02;2017-06-09;2017-06-13;6;7.326727;46.867337;Rafa
89;82;SWIK23;Potato;2017-07-26;2017-07-31;2017-08-02;9;7.101753;46.737766;Francesca
90;82;SWIK23;Settlement;2019-02-28;2019-05-08;2019-05-12;6;7.253238;46.770273;Francesca
91;138;SWIK25;Potato;2016-06-08;2016-06-19;2016-06-21;9;7.13587;46.735007;Edmee
92;138;SWIK25;Settlement;2017-04-04;2017-06-09;2017-06-13;6;7.276867;46.80866;Edmee
93;154;SWIK27;Potato;2016-05-28;2016-06-02;2016-06-04;9;9.15953;47.382105;Etienne
94;154;SWIK27;Settlement;2018-02-02;2018-06-12;2018-06-16;6;7.25711;46.846359;Etienne
95;151;SWIK31;Potato;2016-07-22;2016-07-24;2016-07-26;9;7.317144;46.775325;Francesca
96;151;SWIK31;Settlement;2019-03-16;2019-05-05;2019-05-09;6;7.097781;46.556776;Francesca
97;172;SWIK33;Potato;2016-06-19;2016-06-19;2016-06-21;9;7.14156;46.733276;Edmee
98;172;SWIK33;Settlement;2018-03-09;2018-07-11;2018-07-15;6;7.130635;46.706918;Edmee
99;150;SWIK35;Potato;2016-07-01;2016-07-01;2016-07-03;9;8.058878;47.093576;Francesca
100;150;SWIK35;Settlement;2018-04-28;2018-06-13;2018-06-17;6;7.068373;46.60878;Francesca
101;140;SWIK38;Potato;2017-03-23;2017-03-23;2017-03-25;9;7.773218;47.073636;Rafa
102;140;SWIK38;Settlement;2018-03-26;2018-06-25;2018-06-29;6;7.801673;47.101929;Rafa
103;165;SWIK46;Potato;2016-05-23;2016-05-24;2016-05-26;9;7.003426;46.788126;Edmee
104;165;SWIK46;Settlement;2018-03-05;2018-07-28;2018-08-01;6;7.017005;46.760672;Edmee
