bird_ID;TransmGSM;Type;LON;LAT;Start;End
342;KIWS93;Potato;7.375833;46.771937;2018-07-07;2018-07-09
342;KIWS93;Settlement;7.388561;46.798624;2020-03-13;2020-05-26
517;KIWS95;Potato;7.570499;47.436824;2019-05-08;2019-05-11
517;KIWS95;Settlement;16.579843;49.425074;2020-04-01;2020-06-24
350;KIWS96;Potato;7.213402;46.766304;2019-05-28;2019-05-30
350;KIWS96;Settlement;7.247397;46.735534;2020-04-07;2020-06-22
171;SWIK03;Potato;6.434452;46.97364;2016-06-25;2016-07-12
171;SWIK03;Settlement;6.957678;46.68122;2019-03-21;2019-05-20
315;SWIK05;Potato;7.953605;46.955;2018-07-24;2018-07-28
315;SWIK05;Settlement;8.11245;47.056044;2019-04-10;2019-06-30
161;SWIK07;Potato;6.287025;46.93969;2016-07-30;2016-08-02
161;SWIK07;Settlement;7.768807;47.700181;2019-03-08;2019-07-02
142;SWIK12;Potato;6.878699;46.72472;2017-03-30;2017-04-01
142;SWIK12;Settlement;6.819954;46.625757;2018-04-02;2018-06-22
164;SWIK16;Potato;4.167747;45.047478;2017-07-19;2017-08-01
164;SWIK16;Settlement;6.693147;46.709071;2018-04-14;2018-05-28
137;SWIK17;Potato;7.452369;46.872443;2016-06-11;2016-06-13
137;SWIK17;Settlement;7.326727;46.867337;2017-04-02;2017-06-13
82;SWIK23;Potato;7.101753;46.737766;2017-07-26;2017-08-02
82;SWIK23;Settlement;7.253238;46.770273;2019-02-28;2019-05-12
138;SWIK25;Potato;7.13587;46.735007;2016-06-08;2016-06-21
138;SWIK25;Settlement;7.276867;46.80866;2017-04-04;2017-06-13
154;SWIK27;Potato;9.15953;47.382105;2016-05-28;2016-06-04
154;SWIK27;Settlement;7.25711;46.846359;2018-02-02;2018-06-16
151;SWIK31;Potato;7.317144;46.775325;2016-07-22;2016-07-26
151;SWIK31;Settlement;7.097781;46.556776;2019-03-16;2019-05-09
172;SWIK33;Potato;6.226613;46.85404;2016-04-24;2016-04-26
172;SWIK33;Settlement;7.130635;46.706918;2018-03-09;2018-07-15
150;SWIK35;Potato;8.058878;47.093576;2016-07-01;2016-07-03
150;SWIK35;Settlement;7.068373;46.60878;2018-04-28;2018-06-17
140;SWIK38;Potato;7.773218;47.073636;2017-03-23;2017-03-25
140;SWIK38;Settlement;7.801673;47.101929;2018-03-26;2018-06-29
165;SWIK46;Potato;7.003426;46.788126;2016-05-23;2016-05-26
165;SWIK46;Settlement;7.017005;46.760672;2018-03-05;2018-08-01
15;SWIK49;Potato;6.934696;47.192734;2019-07-09;2019-07-12
15;SWIK49;Settlement;7.370045;47.333444;2020-04-12;2020-07-19
157;SWIK52;Potato;9.018243;47.385628;2017-06-03;2017-06-05
157;SWIK52;Settlement;8.824945;47.654587;2020-04-02;2020-05-21
40;SWIK69;Potato;5.501197;45.639052;2018-04-30;2018-05-04
40;SWIK69;Settlement;7.347012;46.869637;2019-02-25;2019-04-16
228;SWIK71;Potato;2.895884;44.881221;2017-05-07;2017-05-12
228;SWIK71;Settlement;5.398052;46.043866;2018-04-04;2018-06-14
367;SWIK75;Potato;9.418426;48.1151;2018-07-18;2018-07-29
367;SWIK75;Settlement;7.296673;46.80651;2020-03-03;2020-05-29
12;SWIK80;Potato;3.985047;46.723329;2017-04-28;2017-05-04
12;SWIK80;Settlement;7.029559;46.760623;2020-04-28;2020-06-17
5;SWIK84;Potato;9.625749;48.178562;2017-07-25;2017-07-27
5;SWIK84;Settlement;7.162927;46.859473;2018-03-29;2018-05-27
91;SWIK88;Potato;7.328566;46.782678;2018-06-11;2018-06-13
91;SWIK88;Settlement;7.285184;46.771456;2019-03-23;2019-06-22
124;SWIK90;Potato;7.952478;47.098594;2019-06-02;2019-06-07
124;SWIK90;Settlement;7.83545;47.095821;2020-03-17;2020-06-18
6;SWIK95;Potato;7.355982;46.767981;2018-07-30;2018-08-02
6;SWIK95;Settlement;7.179045;46.800695;2019-02-16;2019-05-29
26;WSIK06;Potato;6.864054;46.587832;2017-03-20;2017-03-24
26;WSIK06;Settlement;7.285907;46.888975;2018-04-04;2018-06-22
37;WSIK07;Potato;7.360886;46.852506;2017-07-28;2017-07-31
37;WSIK07;Settlement;7.413244;46.831545;2018-05-20;2018-06-29
29;WSIK12;Potato;7.004796;46.689847;2017-07-12;2017-07-14
29;WSIK12;Settlement;7.300051;46.831779;2019-03-23;2019-06-27
116;WSIK18;Potato;7.292805;46.77713;2017-07-07;2017-07-31
116;WSIK18;Settlement;7.245072;46.771752;2019-03-07;2019-07-25
43;WSIK25;Potato;10.296707;48.031331;2017-07-08;2017-07-12
43;WSIK25;Settlement;7.184807;46.776087;2019-03-17;2019-06-22
56;WSIK31;Potato;7.390381;46.867447;2019-03-01;2019-03-11
56;WSIK31;Settlement;7.356385;46.887634;2020-03-06;2020-05-17
118;WSIK35;Potato;7.420229;46.822075;2017-06-04;2017-06-09
